season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
2021,REG,BAL,1,00-0029586,DE,Derek Wolfe,Derek,Wolfe,Back,Hip,Out,Back,Hip,Did Not Participate In Practice,2021-09-11 20:30:36
2021,REG,BAL,1,00-0036562,LB,Daelin Hayes,Daelin,Hayes,Knee,n/a,Questionable,Knee,n/a,Full Participation in Practice,2021-09-11 20:30:16
2021,REG,BAL,1,00-0027965,CB,Jimmy Smith,Jimmy,Smith,Ankle,n/a,Questionable,Ankle,n/a,Limited Participation in Practice,2021-09-11 20:30:16
2021,REG,BUF,1,00-0028339,DE,Mario Addison,Mario,Addison,n/a,n/a,n/a,Not injury related - personal matter,n/a,Did Not Participate In Practice,2021-09-10 20:53:11
2021,REG,BUF,1,00-0034376,CB,Taron Johnson,Taron,Johnson,n/a,n/a,n/a,Hand,n/a,Full Participation in Practice,2021-09-10 20:52:37
2021,REG,BUF,1,00-0033466,WR,Isaiah McKenzie,Isaiah,McKenzie,n/a,n/a,n/a,Shoulder,n/a,Full Participation in Practice,2021-09-10 20:52:37
2021,REG,BUF,1,00-0034782,DT,Harrison Phillips,Harrison,Phillips,n/a,n/a,n/a,Knee,n/a,Full Participation in Practice,2021-09-10 20:52:37
2021,REG,BUF,1,00-0030455,DT,Star Lotulelei,Star,Lotulelei,Calf,n/a,Out,Calf,n/a,Did Not Participate In Practice,2021-09-10 20:55:16
2021,REG,BUF,1,00-0027685,WR,Emmanuel Sanders,Emmanuel,Sanders,Foot,n/a,Questionable,Foot,n/a,Limited Participation in Practice,2021-09-10 20:54:35
2021,REG,CAR,1,00-0036572,WR,Shi Smith,Shi,Smith,Shoulder,n/a,Out,Shoulder,n/a,Did Not Participate In Practice,2021-09-10 18:27:37
2021,REG,CHI,1,00-0035293,CB,Xavier Crawford,Xavier,Crawford,n/a,n/a,n/a,Groin,n/a,Full Participation in Practice,2021-09-10 19:07:21
2021,REG,CHI,1,00-0027696,TE,Jimmy Graham,Jimmy,Graham,n/a,n/a,n/a,Not injury related - resting player,n/a,Full Participation in Practice,2021-09-10 19:07:21
2021,REG,CHI,1,00-0032986,TE,J.P. Holtz,J.P.,Holtz,n/a,n/a,n/a,Quadricep,n/a,Full Participation in Practice,2021-09-10 19:07:21
2021,REG,CHI,1,00-0036909,DT,Khyiris Tonga,Khyiris,Tonga,n/a,n/a,n/a,Ankle,n/a,Full Participation in Practice,2021-09-10 19:07:21
2021,REG,CHI,1,00-0030874,RB,Damien Williams,Damien,Williams,n/a,n/a,n/a,Abdomen,n/a,Full Participation in Practice,2021-09-10 19:07:21
2021,REG,CHI,1,00-0031551,DT,Eddie Goldman,Eddie,Goldman,Knee,Ankle,Doubtful,Knee,Ankle,Did Not Participate In Practice,2021-09-10 19:08:46
2021,REG,CHI,1,00-0032774,S,Deon Bush,Deon,Bush,Shoulder,n/a,Questionable,Shoulder,n/a,Full Participation in Practice,2021-09-10 19:08:35
2021,REG,CHI,1,00-0034372,LB,Joel Iyiegbuniwe,Joel,Iyiegbuniwe,Shoulder,n/a,Questionable,Shoulder,n/a,Full Participation in Practice,2021-09-10 19:08:35
2021,REG,CHI,1,00-0033784,S,Eddie Jackson,Eddie,Jackson,Wrist,n/a,Questionable,Wrist,n/a,Full Participation in Practice,2021-09-10 19:08:35
2021,REG,CHI,1,00-0031040,LB,Khalil Mack,Khalil,Mack,Groin,n/a,Questionable,Groin,n/a,Full Participation in Practice,2021-09-10 19:08:35
2021,REG,CHI,1,00-0036309,WR,Darnell Mooney,Darnell,Mooney,Back,n/a,Questionable,Back,n/a,Full Participation in Practice,2021-09-10 19:08:35
2021,REG,CHI,1,00-0027952,LB,Robert Quinn,Robert,Quinn,Back,n/a,Questionable,Back,n/a,Full Participation in Practice,2021-09-10 19:08:35
2021,REG,CHI,1,00-0028284,LS,Patrick Scales,Patrick,Scales,Ankle,n/a,Questionable,Ankle,n/a,Full Participation in Practice,2021-09-10 19:08:35
2021,REG,CHI,1,00-0028924,S,Tashaun Gipson,Tashaun,Gipson,Back,n/a,Questionable,Back,n/a,Limited Participation in Practice,2021-09-10 19:08:35
2021,REG,CIN,1,00-0036856,C,Trey Hill,Trey,Hill,n/a,n/a,n/a,Hip,n/a,Full Participation in Practice,2021-09-10 18:15:36
2021,REG,CIN,1,00-0035771,TE,Mitchell Wilcox,Mitchell,Wilcox,n/a,n/a,n/a,Concussion,n/a,Full Participation in Practice,2021-09-10 18:15:36
2021,REG,CIN,1,00-0031546,CB,Trae Waynes,Trae,Waynes,Hamstring,n/a,Out,Hamstring,n/a,Did Not Participate In Practice,2021-09-10 18:16:15
2021,REG,CLE,1,00-0032977,WR,Rashard Higgins,Rashard,Higgins,n/a,n/a,n/a,Hamstring,n/a,Full Participation in Practice,2021-09-10 17:56:00
2021,REG,CLE,1,00-0031785,CB,Troy Hill,Troy,Hill,n/a,n/a,n/a,Hamstring,n/a,Full Participation in Practice,2021-09-10 17:56:53
2021,REG,CLE,1,00-0035646,LB,Sione Takitaki,Sione,Takitaki,n/a,n/a,n/a,Hamstring,n/a,Full Participation in Practice,2021-09-10 17:49:37
2021,REG,CLE,1,00-0035638,CB,Greedy Williams,Greedy,Williams,n/a,n/a,n/a,Groin,n/a,Full Participation in Practice,2021-09-10 17:57:05
2021,REG,CLE,1,00-0036634,LB,Tony Fields,Tony,Fields,Illness,n/a,Out,Illness,n/a,Did Not Participate In Practice,2021-09-10 18:02:31
2021,REG,CLE,1,00-0033995,T,Michael Dunn,Michael,Dunn,Back,n/a,Out,Back,n/a,Limited Participation in Practice,2021-09-10 18:01:47
2021,REG,CLE,1,00-0034779,S,Ronnie Harrison,Ronnie,Harrison,Ankle,n/a,Questionable,Ankle,n/a,Full Participation in Practice,2021-09-10 18:00:45
2021,REG,CLE,1,00-0035358,K,Chase McLaughlin,Chase,McLaughlin,right Hamstring,n/a,Questionable,right Hamstring,n/a,Full Participation in Practice,2021-09-10 18:04:43
2021,REG,CLE,1,00-0031235,WR,Odell Beckham,Odell,Beckham,Knee,n/a,Questionable,Knee,n/a,Limited Participation in Practice,2021-09-10 18:01:27
2021,REG,CLE,1,00-0031364,DE,Jadeveon Clowney,Jadeveon,Clowney,Illness,n/a,Questionable,Illness,n/a,Limited Participation in Practice,2021-09-10 18:00:45
2021,REG,CLE,1,00-0036282,S,Grant Delpit,Grant,Delpit,Hamstring,n/a,Questionable,Hamstring,n/a,Limited Participation in Practice,2021-09-10 18:00:45
2021,REG,CLE,1,00-0030076,C,J.C. Tretter,J.C.,Tretter,Knee,n/a,Questionable,Knee,n/a,Limited Participation in Practice,2021-09-10 18:00:45
2021,REG,DAL,1,00-0033917,DE,Tarell Basham,Tarell,Basham,n/a,n/a,n/a,Ankle,n/a,Full Participation in Practice,2021-09-08 18:04:29
2021,REG,DAL,1,00-0031534,T,La'el Collins,La'el,Collins,n/a,n/a,n/a,Neck,n/a,Full Participation in Practice,2021-09-08 18:04:29
2021,REG,DAL,1,00-0036982,DE,Chauncey Golston,Chauncey,Golston,n/a,n/a,n/a,Hamstring,n/a,Full Participation in Practice,2021-09-08 18:04:29
2021,REG,DAL,1,00-0031357,CB,C.J. Goodwin,C.J.,Goodwin,n/a,n/a,n/a,Hamstring,n/a,Full Participation in Practice,2021-09-08 18:04:29
2021,REG,DAL,1,00-0031411,DE,Demarcus Lawrence,Demarcus,Lawrence,n/a,n/a,n/a,Back,n/a,Full Participation in Practice,2021-09-08 18:04:29
2021,REG,DAL,1,00-0028394,LS,Jake McQuaide,Jake,McQuaide,n/a,n/a,n/a,Foot,n/a,Full Participation in Practice,2021-09-08 18:04:29
2021,REG,DAL,1,00-0029709,T,Ty Nsekhe,Ty,Nsekhe,n/a,n/a,n/a,Foot,n/a,Full Participation in Practice,2021-09-08 18:16:14
2021,REG,DAL,1,00-0033077,QB,Dak Prescott,Dak,Prescott,n/a,n/a,n/a,right Shoulder,n/a,Full Participation in Practice,2021-09-08 18:04:29
2021,REG,DAL,1,00-0035301,S,Donovan Wilson,Donovan,Wilson,n/a,n/a,n/a,Groin,n/a,Full Participation in Practice,2021-09-08 18:04:29
2021,REG,DEN,1,00-0035644,TE,Noah Fant,Noah,Fant,n/a,n/a,n/a,Knee,n/a,Full Participation in Practice,2021-09-10 19:30:52
2021,REG,DEN,1,00-0027940,LB,Von Miller,Von,Miller,n/a,n/a,n/a,Ankle,n/a,Full Participation in Practice,2021-09-10 19:30:52
2021,REG,DEN,1,00-0036423,TE,Albert Okwuegbunam,Albert,Okwuegbunam,n/a,n/a,n/a,Knee,n/a,Full Participation in Practice,2021-09-10 19:30:52
2021,REG,DEN,1,00-0034348,WR,Courtland Sutton,Courtland,Sutton,n/a,n/a,n/a,Knee,n/a,Full Participation in Practice,2021-09-10 19:30:52
2021,REG,DEN,1,00-0034832,LB,Bradley Chubb,Bradley,Chubb,Ankle,n/a,Questionable,Ankle,n/a,Limited Participation in Practice,2021-09-10 19:31:50
2021,REG,DET,1,00-0029738,TE,Darren Fells,Darren,Fells,n/a,n/a,n/a,Shoulder,n/a,Full Participation in Practice,2021-09-10 19:50:27
2021,REG,DET,1,00-0035229,TE,T.J. Hockenson,T.J.,Hockenson,n/a,n/a,n/a,Shoulder,n/a,Full Participation in Practice,2021-09-10 19:50:06
2021,REG,DET,1,00-0036275,RB,D'Andre Swift,D'Andre,Swift,n/a,n/a,n/a,Groin,n/a,Full Participation in Practice,2021-09-10 19:50:06
2021,REG,DET,1,00-0032381,T,Taylor Decker,Taylor,Decker,Finger,n/a,Out,Finger,n/a,Did Not Participate In Practice,2021-09-10 19:51:58
2021,REG,DET,1,00-0029630,DE,Michael Brockers,Michael,Brockers,Shoulder,n/a,Questionable,Shoulder,n/a,Limited Participation in Practice,2021-09-10 19:51:26
2021,REG,DET,1,00-0036954,DT,Levi Onwuzurike,Levi,Onwuzurike,Hip,n/a,Questionable,Hip,n/a,Limited Participation in Practice,2021-09-10 19:51:26
2021,REG,DET,1,00-0036752,CB,A.J. Parker,A.J.,Parker,Shoulder,n/a,Questionable,Shoulder,n/a,Limited Participation in Practice,2021-09-10 19:51:26
2021,REG,DET,1,00-0030500,DE,Nicholas Williams,Nicholas,Williams,Elbow,n/a,Questionable,Elbow,n/a,Limited Participation in Practice,2021-09-10 19:51:26
2021,REG,GB,1,00-0024243,TE,Marcedes Lewis,Marcedes,Lewis,n/a,n/a,n/a,Not injury related - resting player,n/a,Full Participation in Practice,2021-09-10 19:41:29
2021,REG,GB,1,00-0031935,LB,Preston Smith,Preston,Smith,n/a,n/a,n/a,Head,n/a,Full Participation in Practice,2021-09-10 19:41:40
2021,REG,GB,1,00-0036243,S,Vernon Scott,Vernon,Scott,Hamstring,n/a,Out,Hamstring,n/a,Did Not Participate In Practice,2021-09-10 19:42:10
2021,REG,GB,1,00-0031576,LB,Za'Darius Smith,Za'Darius,Smith,Back,n/a,Questionable,Back,n/a,Did Not Participate In Practice,2021-09-10 19:41:48
2021,REG,GB,1,00-0034185,DT,Tyler Lancaster,Tyler,Lancaster,Back,n/a,Questionable,Back,n/a,Limited Participation in Practice,2021-09-10 19:41:48
2021,REG,HOU,1,00-0033131,DT,Maliek Collins,Maliek,Collins,n/a,n/a,n/a,Knee,n/a,Full Participation in Practice,2021-09-10 20:04:10
2021,REG,HOU,1,00-0029643,DE,Whitney Mercilus,Whitney,Mercilus,n/a,n/a,n/a,Thigh,n/a,Full Participation in Practice,2021-09-10 20:04:05
2021,REG,HOU,1,00-0035244,CB,Lonnie Johnson,Lonnie,Johnson,Thigh,n/a,Out,Thigh,n/a,Did Not Participate In Practice,2021-09-10 20:05:18
2021,REG,HOU,1,00-0033537,QB,Deshaun Watson,Deshaun,Watson,Not injury related - personal matter,n/a,Out,Not injury related - personal matter,n/a,Did Not Participate In Practice,2021-09-10 20:05:25
2021,REG,HOU,1,00-0036224,DE,Jonathan Greenard,Jonathan,Greenard,Illness,n/a,Questionable,Illness,n/a,Did Not Participate In Practice,2021-09-10 20:05:00
2021,REG,HOU,1,00-0031308,LB,Kevin Pierre-Louis,Kevin,Pierre-Louis,Thigh,n/a,Questionable,Thigh,n/a,Did Not Participate In Practice,2021-09-10 20:05:00
2021,REG,IND,1,00-0034846,LB,Shaquille Leonard,Shaquille,Leonard,n/a,n/a,n/a,Ankle,n/a,Did Not Participate In Practice,2021-09-10 19:48:34
2021,REG,IND,1,00-0035639,WR,Parris Campbell,Parris,Campbell,n/a,n/a,n/a,Achilles,n/a,Full Participation in Practice,2021-09-10 19:48:10
2021,REG,IND,1,00-0030181,TE,Jack Doyle,Jack,Doyle,n/a,n/a,n/a,Not injury related - resting player,n/a,Full Participation in Practice,2021-09-10 19:48:43
2021,REG,IND,1,00-0032950,QB,Carson Wentz,Carson,Wentz,n/a,n/a,n/a,Foot,n/a,Full Participation in Practice,2021-09-10 19:48:10
2021,REG,IND,1,00-0030575,CB,Xavier Rhodes,Xavier,Rhodes,Calf,n/a,Out,Calf,n/a,Did Not Participate In Practice,2021-09-10 19:50:23
2021,REG,IND,1,00-0034354,DE,Kemoko Turay,Kemoko,Turay,Groin,n/a,Out,Groin,n/a,Did Not Participate In Practice,2021-09-10 19:50:28
2021,REG,IND,1,00-0030584,T,Eric Fisher,Eric,Fisher,Achilles,n/a,Out,Achilles,n/a,Limited Participation in Practice,2021-09-10 19:50:11
2021,REG,IND,1,00-0034342,G,Quenton Nelson,Quenton,Nelson,Foot,Back,Questionable,Foot,Back,Full Participation in Practice,2021-09-10 19:49:54
2021,REG,IND,1,00-0036215,G,Danny Pinter,Danny,Pinter,Foot,n/a,Questionable,Foot,n/a,Full Participation in Practice,2021-09-10 19:49:54
2021,REG,JAX,1,00-0034516,CB,Tre Herndon,Tre,Herndon,Knee,n/a,Out,Knee,n/a,Did Not Participate In Practice,2021-09-10 18:40:51
2021,REG,JAX,1,00-0036974,CB,Tyson Campbell,Tyson,Campbell,Calf,n/a,Questionable,Calf,n/a,Limited Participation in Practice,2021-09-10 18:40:42
2021,REG,JAX,1,00-0036868,DE,Jordan Smith,Jordan,Smith,Knee,n/a,Questionable,Knee,n/a,Limited Participation in Practice,2021-09-10 18:40:42
2021,REG,KC,1,00-0031022,G,Laurent Duvernay-Tardif,Laurent,Duvernay-Tardif,n/a,n/a,n/a,Hand,n/a,Full Participation in Practice,2021-09-10 19:42:23
2021,REG,KC,1,00-0036360,RB,Clyde Edwards-Helaire,Clyde,Edwards-Helaire,n/a,n/a,n/a,Ankle,n/a,Full Participation in Practice,2021-09-10 19:42:23
2021,REG,KC,1,00-0035140,WR,Mecole Hardman,Mecole,Hardman,n/a,n/a,n/a,Oblique,n/a,Full Participation in Practice,2021-09-10 19:42:23
2021,REG,KC,1,00-0029164,T,Mike Remmers,Mike,Remmers,n/a,n/a,n/a,Knee,n/a,Full Participation in Practice,2021-09-10 19:42:23
2021,REG,KC,1,00-0036660,G,Trey Smith,Trey,Smith,n/a,n/a,n/a,Shoulder,n/a,Full Participation in Practice,2021-09-10 19:42:23
2021,REG,KC,1,00-0032455,C,Austin Blythe,Austin,Blythe,Abdomen,n/a,Out,Abdomen,n/a,Did Not Participate In Practice,2021-09-10 19:44:51
2021,REG,KC,1,00-0030459,S,Tyrann Mathieu,Tyrann,Mathieu,Illness,n/a,Questionable,n/a,n/a,"
    ",2021-09-11 20:34:43
2021,REG,KC,1,00-0032210,DE,Frank Clark,Frank,Clark,Hamstring,n/a,Questionable,Hamstring,n/a,Limited Participation in Practice,2021-09-10 19:44:30
2021,REG,KC,1,00-0034818,DT,Derrick Nnadi,Derrick,Nnadi,Hip,n/a,Questionable,Hip,n/a,Limited Participation in Practice,2021-09-10 19:44:30
2021,REG,LA,1,00-0026189,WR,DeSean Jackson,DeSean,Jackson,n/a,n/a,n/a,Not injury related - resting player,n/a,Did Not Participate In Practice,2021-09-10 19:49:08
2021,REG,LA,1,00-0036419,LB,Terrell Lewis,Terrell,Lewis,n/a,n/a,n/a,Not injury related - resting player,n/a,Full Participation in Practice,2021-09-10 19:46:53
2021,REG,LA,1,00-0032889,DT,A'Shawn Robinson,A'Shawn,Robinson,n/a,n/a,n/a,Knee,n/a,Full Participation in Practice,2021-09-10 19:47:22
2021,REG,LA,1,00-0024270,T,Andrew Whitworth,Andrew,Whitworth,n/a,n/a,n/a,Not injury related - resting player,n/a,Full Participation in Practice,2021-09-10 19:46:53
2021,REG,LA,1,00-0036862,WR,Ben Skowronek,Ben,Skowronek,Forearm,n/a,Doubtful,Forearm,n/a,Limited Participation in Practice,2021-09-10 19:51:23
2021,REG,LAC,1,00-0027875,T,Bryan Bulaga,Bryan,Bulaga,n/a,n/a,n/a,Groin,n/a,Full Participation in Practice,2021-09-10 19:58:24
2021,REG,LAC,1,00-0035908,RB,Gabe Nabers,Gabe,Nabers,n/a,n/a,n/a,Knee,n/a,Full Participation in Practice,2021-09-10 19:58:24
2021,REG,LAC,1,00-0034111,S,Trey Marshall,Trey,Marshall,Ankle,n/a,Out,Ankle,n/a,Did Not Participate In Practice,2021-09-10 19:59:01
2021,REG,LAC,1,00-0033699,RB,Austin Ekeler,Austin,Ekeler,Hamstring,n/a,Questionable,Hamstring,n/a,Limited Participation in Practice,2021-09-10 19:58:45
2021,REG,LV,1,00-0035692,DE,Clelin Ferrell,Clelin,Ferrell,n/a,n/a,n/a,Back,n/a,Full Participation in Practice,2021-09-11 19:30:27
2021,REG,LV,1,00-0036892,T,Alex Leatherwood,Alex,Leatherwood,n/a,n/a,n/a,Shin,n/a,Full Participation in Practice,2021-09-11 19:30:27
2021,REG,LV,1,00-0033129,DE,Carl Nassib,Carl,Nassib,n/a,n/a,n/a,Pectoral,n/a,Full Participation in Practice,2021-09-11 19:30:27
2021,REG,LV,1,00-0035700,RB,Josh Jacobs,Josh,Jacobs,n/a,n/a,n/a,Toe,n/a,Limited Participation in Practice,2021-09-11 19:30:27
2021,REG,LV,1,00-0023516,G,Richie Incognito,Richie,Incognito,Calf,n/a,Out,Calf,n/a,Did Not Participate In Practice,2021-09-11 19:30:40
2021,REG,LV,1,00-0035437,CB,Roderic Teamer,Roderic,Teamer,Shoulder,Ankle,Doubtful,Shoulder,Ankle,Did Not Participate In Practice,2021-09-11 19:30:51
2021,REG,MIA,1,00-0036020,RB,Salvon Ahmed,Salvon,Ahmed,n/a,n/a,n/a,Back,n/a,Full Participation in Practice,2021-09-09 19:45:43
2021,REG,MIA,1,00-0037010,T,Liam Eichenberg,Liam,Eichenberg,n/a,n/a,n/a,Thigh,n/a,Full Participation in Practice,2021-09-10 19:37:06
2021,REG,MIA,1,00-0032807,S,Clayton Fejedelem,Clayton,Fejedelem,n/a,n/a,n/a,Shoulder,n/a,Full Participation in Practice,2021-09-10 19:36:35
2021,REG,MIA,1,00-0031547,WR,DeVante Parker,DeVante,Parker,n/a,n/a,n/a,Shoulder,n/a,Full Participation in Practice,2021-09-10 19:36:35
2021,REG,MIA,1,00-0032442,LB,Elandon Roberts,Elandon,Roberts,n/a,n/a,n/a,Knee,n/a,Full Participation in Practice,2021-09-10 19:36:35
2021,REG,MIA,1,00-0030669,WR,Albert Wilson,Albert,Wilson,n/a,n/a,n/a,Quadricep,n/a,Full Participation in Practice,2021-09-10 19:36:35
2021,REG,MIA,1,00-0036248,T,Austin Jackson,Austin,Jackson,Illness,n/a,Questionable,n/a,n/a,"
    ",2021-09-11 20:36:12
2021,REG,MIA,1,00-0035350,WR,Preston Williams,Preston,Williams,Foot,n/a,Questionable,Foot,n/a,Limited Participation in Practice,2021-09-10 19:59:42
2021,REG,MIN,1,00-0034270,TE,Tyler Conklin,Tyler,Conklin,n/a,n/a,n/a,Hamstring,n/a,Full Participation in Practice,2021-09-10 18:24:14
2021,REG,MIN,1,00-0034972,RB,Alexander Mattison,Alexander,Mattison,n/a,n/a,n/a,Ribs,n/a,Full Participation in Practice,2021-09-10 18:24:14
2021,REG,MIN,1,00-0036348,S,Josh Metellus,Josh,Metellus,n/a,n/a,n/a,Ankle,n/a,Full Participation in Practice,2021-09-10 18:24:14
2021,REG,MIN,1,00-0033839,WR,Dede Westbrook,Dede,Westbrook,n/a,n/a,n/a,Knee,n/a,Full Participation in Practice,2021-09-10 18:24:14
2021,REG,MIN,1,00-0031256,LB,Anthony Barr,Anthony,Barr,Knee,n/a,Out,Knee,n/a,Did Not Participate In Practice,2021-09-10 18:24:24
2021,REG,MIN,1,00-0036616,T,Christian Darrisaw,Christian,Darrisaw,Groin,n/a,Out,Groin,n/a,Limited Participation in Practice,2021-09-10 18:24:30
2021,REG,NE,1,00-0036245,WR,Malcolm Perry,Malcolm,Perry,Foot,n/a,Out,Foot,n/a,Did Not Participate In Practice,2021-09-10 19:49:01
2021,REG,NE,1,00-0031549,WR,Nelson Agholor,Nelson,Agholor,Ankle,n/a,Questionable,Ankle,n/a,Limited Participation in Practice,2021-09-10 19:48:51
2021,REG,NE,1,00-0035252,T,Yodny Cajuste,Yodny,Cajuste,Hamstring,n/a,Questionable,Hamstring,n/a,Limited Participation in Practice,2021-09-10 19:48:51
2021,REG,NE,1,00-0032803,S,Jalen Mills,Jalen,Mills,Ankle,n/a,Questionable,Ankle,n/a,Limited Participation in Practice,2021-09-10 19:48:51
2021,REG,NE,1,00-0036978,LB,Ronnie Perkins,Ronnie,Perkins,Shoulder,n/a,Questionable,Shoulder,n/a,Limited Participation in Practice,2021-09-10 19:48:51
2021,REG,NO,1,00-0030067,T,Terron Armstead,Terron,Armstead,n/a,n/a,n/a,Back,n/a,Did Not Participate In Practice,2021-09-10 20:12:36
2021,REG,NO,1,00-0032875,CB,Ken Crawley,Ken,Crawley,Hamstring,n/a,Out,Hamstring,n/a,Did Not Participate In Practice,2021-09-10 20:14:47
2021,REG,NO,1,00-0034765,WR,Tre'Quan Smith,Tre'Quan,Smith,Hamstring,n/a,Out,Hamstring,n/a,Did Not Participate In Practice,2021-09-10 20:15:16
2021,REG,NO,1,00-0030694,T,James Hurst,James,Hurst,Knee,n/a,Questionable,Knee,n/a,Did Not Participate In Practice,2021-09-10 20:15:58
2021,REG,NO,1,00-0033874,CB,Marshon Lattimore,Marshon,Lattimore,Knee,n/a,Questionable,Knee,n/a,Full Participation in Practice,2021-09-11 23:31:15
2021,REG,NYG,1,00-0033932,WR,Kenny Golladay,Kenny,Golladay,n/a,n/a,n/a,Hamstring,n/a,Limited Participation in Practice,2021-09-10 19:14:40
2021,REG,NYG,1,00-0036673,LB,Justin Hilliard,Justin,Hilliard,n/a,n/a,n/a,Foot,n/a,Limited Participation in Practice,2021-09-10 19:14:40
2021,REG,NYG,1,00-0034751,CB,Josh Jackson,Josh,Jackson,n/a,n/a,n/a,Calf,n/a,Limited Participation in Practice,2021-09-10 19:14:40
2021,REG,NYG,1,00-0027981,TE,Kyle Rudolph,Kyle,Rudolph,n/a,n/a,n/a,Foot,n/a,Limited Participation in Practice,2021-09-10 19:14:40
2021,REG,NYG,1,00-0032143,DT,Danny Shelton,Danny,Shelton,n/a,n/a,n/a,Neck,n/a,Limited Participation in Practice,2021-09-10 19:14:40
2021,REG,NYG,1,00-0034988,TE,Kaden Smith,Kaden,Smith,n/a,n/a,n/a,Knee,n/a,Limited Participation in Practice,2021-09-10 19:14:40
2021,REG,NYG,1,00-0036386,T,Andrew Thomas,Andrew,Thomas,n/a,n/a,n/a,Ankle,n/a,Limited Participation in Practice,2021-09-10 19:14:40
2021,REG,NYG,1,00-0036913,WR,Kadarius Toney,Kadarius,Toney,n/a,n/a,n/a,Hamstring,n/a,Limited Participation in Practice,2021-09-10 19:14:40
2021,REG,NYG,1,00-0033881,TE,Evan Engram,Evan,Engram,Calf,n/a,Out,Calf,n/a,Did Not Participate In Practice,2021-09-10 19:14:56
2021,REG,NYG,1,00-0034844,RB,Saquon Barkley,Saquon,Barkley,Knee,n/a,Questionable,Knee,n/a,Limited Participation in Practice,2021-09-10 19:14:46
2021,REG,NYG,1,00-0033878,CB,Adoree' Jackson,Adoree',Jackson,Ankle,n/a,Questionable,Ankle,n/a,Limited Participation in Practice,2021-09-10 19:14:46
2021,REG,NYJ,1,00-0036284,T,Mekhi Becton,Mekhi,Becton,n/a,n/a,n/a,Concussion,n/a,Full Participation in Practice,2021-09-10 20:42:17
2021,REG,NYJ,1,00-0032592,S,Sharrod Neasman,Sharrod,Neasman,Hamstring,n/a,Out,Hamstring,n/a,Did Not Participate In Practice,2021-09-10 20:45:02
2021,REG,NYJ,1,00-0033681,WR,Keelan Cole,Keelan,Cole,Knee,n/a,Questionable,Knee,n/a,Did Not Participate In Practice,2021-09-10 20:43:54
2021,REG,NYJ,1,00-0036269,RB,La'Mical Perine,La'Mical,Perine,Foot,n/a,Questionable,Foot,n/a,Full Participation in Practice,2021-09-10 20:43:54
2021,REG,PHI,1,00-0029679,G,Brandon Brooks,Brandon,Brooks,n/a,n/a,n/a,Knee,n/a,Limited Participation in Practice,2021-09-10 18:04:34
2021,REG,PHI,1,00-0037002,G,Landon Dickerson,Landon,Dickerson,Knee,n/a,Out,Knee,n/a,Limited Participation in Practice,2021-09-10 18:04:53
2021,REG,PHI,1,00-0028899,S,Rodney McLeod,Rodney,McLeod,Knee,n/a,Out,Knee,n/a,Limited Participation in Practice,2021-09-10 18:04:59
2021,REG,PHI,1,00-0036393,LB,Davion Taylor,Davion,Taylor,Calf,n/a,Questionable,Calf,n/a,Full Participation in Practice,2021-09-10 18:04:44
2021,REG,PIT,1,00-0027862,DE,Tyson Alualu,Tyson,Alualu,n/a,n/a,n/a,Elbow,n/a,Full Participation in Practice,2021-09-10 18:31:43
