Unnamed: 0,season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified
134,2021,REG,NE,1,00-0031549,WR,Nelson Agholor,Nelson,Agholor,Ankle,None,Questionable,Ankle,None,Limited Participation in Practice,2021-09-10 19:48:51
150,2021,REG,NYG,1,00-0036913,WR,Kadarius Toney,Kadarius,Toney,None,None,None,Hamstring,None,Limited Participation in Practice,2021-09-10 19:14:40
151,2021,REG,NYG,1,00-0033881,TE,Evan Engram,Evan,Engram,Calf,None,Out,Calf,None,Did Not Participate In Practice,2021-09-10 19:14:56
152,2021,REG,NYG,1,00-0034844,RB,Saquon Barkley,Saquon,Barkley,Knee,None,Questionable,Knee,None,Limited Participation in Practice,2021-09-10 19:14:46
177,2021,REG,SEA,1,00-0034750,RB,Rashaad Penny,Rashaad,Penny,None,None,None,Calf,None,Full Participation in Practice,2021-09-10 21:03:48
180,2021,REG,SEA,1,00-0030565,QB,Geno Smith,Geno,Smith,None,None,None,Back,None,Full Participation in Practice,2021-09-09 22:54:17
181,2021,REG,SEA,1,00-0035640,WR,DK Metcalf,DK,Metcalf,None,None,None,Calf,None,Limited Participation in Practice,2021-09-10 21:03:16
182,2021,REG,SF,1,00-0036261,WR,Brandon Aiyuk,Brandon,Aiyuk,None,None,None,Hamstring,None,Full Participation in Practice,2021-09-10 20:22:05
195,2021,REG,TB,1,00-0033921,WR,Chris Godwin,Chris,Godwin,None,None,None,Quadricep,None,Full Participation in Practice,2021-09-08 18:55:17
200,2021,REG,TEN,1,00-0035676,WR,A.J. Brown,A.J.,Brown,None,None,None,Knee,None,Full Participation in Practice,2021-09-10 19:48:31
205,2021,REG,TEN,1,00-0033943,WR,Josh Reynolds,Josh,Reynolds,Foot,None,Questionable,Foot,None,Limited Participation in Practice,2021-09-10 19:49:34
206,2021,REG,WAS,1,00-0033282,WR,Curtis Samuel,Curtis,Samuel,None,None,None,Groin,None,Did Not Participate In Practice,2021-09-09 19:25:51
208,2021,REG,ARI,2,00-0030564,WR,DeAndre Hopkins,DeAndre,Hopkins,None,None,None,Not injury related - resting player,None,Did Not Participate In Practice,2021-09-15 19:16:11
220,2021,REG,BAL,2,00-0035662,WR,Marquise Brown,Marquise,Brown,Ankle,None,Questionable,Ankle,None,Limited Participation in Practice,2021-09-17 19:35:35
221,2021,REG,BAL,2,00-0036331,WR,Devin Duvernay,Devin,Duvernay,Groin,None,Questionable,Groin,None,Limited Participation in Practice,2021-09-17 19:35:35
227,2021,REG,BUF,2,00-0031588,WR,Stefon Diggs,Stefon,Diggs,None,None,None,Not injury related - resting player,None,Did Not Participate In Practice,2021-09-17 17:44:53
234,2021,REG,BUF,2,00-0036196,WR,Gabe Davis,Gabe,Davis,Ankle,None,Questionable,Ankle,None,Limited Participation in Practice,2021-09-17 17:45:58
248,2021,REG,CHI,2,00-0036309,WR,Darnell Mooney,Darnell,Mooney,Back,None,Questionable,Back,None,Full Participation in Practice,2021-09-17 18:30:53
253,2021,REG,CIN,2,00-0036442,QB,Joe Burrow,Joe,Burrow,None,None,None,Knee,None,Full Participation in Practice,2021-09-17 18:37:14
279,2021,REG,DEN,2,00-0035644,TE,Noah Fant,Noah,Fant,None,None,None,Knee,None,Full Participation in Practice,2021-09-17 19:06:30
287,2021,REG,DET,2,00-0033948,RB,Jamaal Williams,Jamaal,Williams,None,None,None,Chest,None,Full Participation in Practice,2021-09-18 19:08:18
290,2021,REG,DET,2,00-0036275,RB,D'Andre Swift,D'Andre,Swift,Groin,None,Questionable,Groin,None,Full Participation in Practice,2021-09-18 19:08:57
293,2021,REG,DET,2,00-0032464,WR,Kalif Raymond,Kalif,Raymond,Thigh,None,Questionable,Thigh,None,Limited Participation in Practice,2021-09-18 19:10:25
307,2021,REG,HOU,2,00-0033537,QB,Deshaun Watson,Deshaun,Watson,Not injury related - personal matter,None,Out,Not injury related - personal matter,None,Did Not Participate In Practice,2021-09-17 19:54:15
321,2021,REG,IND,2,00-0035639,WR,Parris Campbell,Parris,Campbell,Abdomen,None,Questionable,Abdomen,None,Limited Participation in Practice,2021-09-17 19:48:21
332,2021,REG,KC,2,00-0036360,RB,Clyde Edwards-Helaire,Clyde,Edwards-Helaire,None,None,None,Ankle,None,Full Participation in Practice,2021-09-17 19:10:02
333,2021,REG,KC,2,00-0033040,WR,Tyreek Hill,Tyreek,Hill,None,None,None,Toe,None,Full Participation in Practice,2021-09-17 19:10:02
362,2021,REG,LV,2,00-0035700,RB,Josh Jacobs,Josh,Jacobs,Toe,Ankle,Out,Toe,Ankle,Did Not Participate In Practice,2021-09-17 19:33:00
371,2021,REG,MIA,2,00-0031547,WR,DeVante Parker,DeVante,Parker,None,None,None,Shoulder,None,Full Participation in Practice,2021-09-17 19:15:25
383,2021,REG,NE,2,00-0031549,WR,Nelson Agholor,Nelson,Agholor,None,None,None,Ankle,None,Full Participation in Practice,2021-09-17 19:39:35
391,2021,REG,NE,2,00-0033858,TE,Jonnu Smith,Jonnu,Smith,Hip,None,Questionable,Hip,None,Limited Participation in Practice,2021-09-17 19:41:41
403,2021,REG,NYG,2,00-0033881,TE,Evan Engram,Evan,Engram,Calf,None,Out,Calf,None,Did Not Participate In Practice,2021-09-15 16:33:14
405,2021,REG,NYG,2,00-0034844,RB,Saquon Barkley,Saquon,Barkley,Knee,None,Questionable,Knee,None,Limited Participation in Practice,2021-09-15 16:32:56
409,2021,REG,NYJ,2,00-0031941,WR,Jamison Crowder,Jamison,Crowder,Groin,None,Questionable,Groin,None,Limited Participation in Practice,2021-09-17 20:08:07
413,2021,REG,PHI,2,00-0030061,TE,Zach Ertz,Zach,Ertz,None,None,None,Hamstring,Not injury related - resting p,Full Participation in Practice,2021-09-17 18:16:51
419,2021,REG,PHI,2,00-0035243,RB,Miles Sanders,Miles,Sanders,None,None,None,Ankle,Not injury related - resting p,Full Participation in Practice,2021-09-17 18:16:03
428,2021,REG,PIT,2,00-0033857,WR,JuJu Smith-Schuster,JuJu,Smith-Schuster,None,None,None,Not injury related - resting player,None,Full Participation in Practice,2021-09-17 19:31:39
443,2021,REG,SEA,2,00-0034750,RB,Rashaad Penny,Rashaad,Penny,Calf,None,Doubtful,Calf,None,Did Not Participate In Practice,2021-09-17 19:45:19
461,2021,REG,TEN,2,00-0035676,WR,A.J. Brown,A.J.,Brown,None,None,None,Knee,None,Full Participation in Practice,2021-09-17 19:42:57
465,2021,REG,TEN,2,00-0033943,WR,Josh Reynolds,Josh,Reynolds,None,None,None,Foot,None,Full Participation in Practice,2021-09-17 19:42:57
473,2021,REG,WAS,2,00-0036328,RB,Antonio Gibson,Antonio,Gibson,None,None,None,Shoulder,None,Full Participation in Practice,2021-09-15 15:40:26
482,2021,REG,ARI,3,00-0030564,WR,DeAndre Hopkins,DeAndre,Hopkins,Ribs,None,Questionable,Ribs,None,Did Not Participate In Practice,2021-09-24 19:40:11
499,2021,REG,BAL,3,00-0034796,QB,Lamar Jackson,Lamar,Jackson,Illness,None,Questionable,Illness,None,Full Participation in Practice,2021-09-24 19:59:27
502,2021,REG,BAL,3,00-0035662,WR,Marquise Brown,Marquise,Brown,Ankle,None,Questionable,Ankle,None,Limited Participation in Practice,2021-09-24 19:59:27
504,2021,REG,BUF,3,00-0031588,WR,Stefon Diggs,Stefon,Diggs,None,None,None,Not injury related - resting player,None,Did Not Participate In Practice,2021-09-24 18:35:07
508,2021,REG,BUF,3,00-0036196,WR,Gabe Davis,Gabe,Davis,None,None,None,Ankle,None,Full Participation in Practice,2021-09-24 18:33:34
522,2021,REG,CAR,3,00-0037005,TE,Tommy Tremble,Tommy,Tremble,None,None,None,Groin,None,Full Participation in Practice,2021-09-20 20:26:35
533,2021,REG,CHI,3,00-0036309,WR,Darnell Mooney,Darnell,Mooney,Groin,None,Questionable,Groin,None,Limited Participation in Practice,2021-09-24 18:33:42
539,2021,REG,CIN,3,00-0036410,WR,Tee Higgins,Tee,Higgins,Shoulder,None,Doubtful,Shoulder,None,Limited Participation in Practice,2021-09-24 19:03:19
544,2021,REG,CLE,3,00-0034855,QB,Baker Mayfield,Baker,Mayfield,None,None,None,left Shoulder,None,Full Participation in Practice,2021-09-24 17:36:55
555,2021,REG,DAL,3,00-0031544,WR,Amari Cooper,Amari,Cooper,None,None,None,Ribs,None,Full Participation in Practice,2021-09-25 18:10:02
562,2021,REG,DEN,3,00-0035644,TE,Noah Fant,Noah,Fant,None,None,None,Ankle,None,Full Participation in Practice,2021-09-24 20:39:31
564,2021,REG,DEN,3,00-0033375,WR,Tim Patrick,Tim,Patrick,None,None,None,Hip,None,Full Participation in Practice,2021-09-24 20:40:01
565,2021,REG,DEN,3,00-0034348,WR,Courtland Sutton,Courtland,Sutton,None,None,None,Hip,None,Full Participation in Practice,2021-09-24 20:39:13
575,2021,REG,DET,3,00-0032464,WR,Kalif Raymond,Kalif,Raymond,Thigh,None,Questionable,Thigh,None,Limited Participation in Practice,2021-09-24 19:35:25
577,2021,REG,DET,3,00-0036275,RB,D'Andre Swift,D'Andre,Swift,Groin,None,Questionable,Groin,None,Limited Participation in Practice,2021-09-24 19:35:25
589,2021,REG,HOU,3,00-0036554,WR,Nico Collins,Nico,Collins,None,None,None,Shoulder,None,Did Not Participate In Practice,2021-09-20 20:05:45
590,2021,REG,HOU,3,00-0028118,QB,Tyrod Taylor,Tyrod,Taylor,None,None,None,Thigh,None,Did Not Participate In Practice,2021-09-20 20:06:14
593,2021,REG,HOU,3,00-0033537,QB,Deshaun Watson,Deshaun,Watson,Not injury related - personal matter,None,Out,Not injury related - personal matter,None,Did Not Participate In Practice,2021-09-22 19:40:51
599,2021,REG,IND,3,00-0035639,WR,Parris Campbell,Parris,Campbell,None,None,None,Abdomen,None,Full Participation in Practice,2021-09-24 18:54:53
634,2021,REG,LAC,3,00-0033699,RB,Austin Ekeler,Austin,Ekeler,None,None,None,Ankle,None,Full Participation in Practice,2021-09-24 19:44:09
642,2021,REG,LV,3,00-0031280,QB,Derek Carr,Derek,Carr,None,None,None,Ankle,None,Full Participation in Practice,2021-09-24 19:26:37
653,2021,REG,LV,3,00-0035700,RB,Josh Jacobs,Josh,Jacobs,Ankle,None,Doubtful,Ankle,None,Did Not Participate In Practice,2021-09-24 19:27:18
657,2021,REG,MIA,3,00-0031547,WR,DeVante Parker,DeVante,Parker,None,None,None,Shoulder,None,Full Participation in Practice,2021-09-24 19:42:47
659,2021,REG,MIA,3,00-0036212,QB,Tua Tagovailoa,Tua,Tagovailoa,Ribs,None,Out,Ribs,None,Did Not Participate In Practice,2021-09-24 19:43:51
668,2021,REG,MIN,3,00-0033893,RB,Dalvin Cook,Dalvin,Cook,Ankle,None,Questionable,Ankle,None,Did Not Participate In Practice,2021-09-24 17:53:24
684,2021,REG,NYG,3,00-0034844,RB,Saquon Barkley,Saquon,Barkley,None,None,None,Knee,None,Limited Participation in Practice,2021-09-24 17:32:24
687,2021,REG,NYG,3,00-0036913,WR,Kadarius Toney,Kadarius,Toney,None,None,None,Ankle,None,Limited Participation in Practice,2021-09-24 17:32:24
690,2021,REG,NYG,3,00-0033881,TE,Evan Engram,Evan,Engram,Calf,None,Questionable,Calf,None,Limited Participation in Practice,2021-09-24 17:32:46
694,2021,REG,NYJ,3,00-0037013,QB,Zach Wilson,Zach,Wilson,None,None,None,Groin,None,Full Participation in Practice,2021-09-24 19:19:43
696,2021,REG,NYJ,3,00-0031941,WR,Jamison Crowder,Jamison,Crowder,Groin,None,Doubtful,Groin,None,Did Not Participate In Practice,2021-09-24 19:20:36
702,2021,REG,PHI,3,00-0035243,RB,Miles Sanders,Miles,Sanders,None,None,None,Chest,None,Full Participation in Practice,2021-09-25 17:31:31
703,2021,REG,PHI,3,00-0030061,TE,Zach Ertz,Zach,Ertz,None,None,None,Illness,None,Limited Participation in Practice,2021-09-25 17:32:30
716,2021,REG,PIT,3,00-0035216,WR,Diontae Johnson,Diontae,Johnson,Knee,None,Out,Knee,None,Did Not Participate In Practice,2021-09-24 18:43:12
722,2021,REG,SEA,3,00-0035640,WR,DK Metcalf,DK,Metcalf,None,None,None,Knee,None,Full Participation in Practice,2021-09-22 22:48:40
727,2021,REG,SEA,3,00-0034750,RB,Rashaad Penny,Rashaad,Penny,Calf,None,Out,Calf,None,Did Not Participate In Practice,2021-09-24 20:30:44
737,2021,REG,SF,3,00-0036567,RB,Elijah Mitchell,Elijah,Mitchell,Shoulder,None,Doubtful,Shoulder,None,Limited Participation in Practice,2021-09-24 20:14:47
747,2021,REG,TEN,3,00-0035676,WR,A.J. Brown,A.J.,Brown,None,None,None,Knee,None,Full Participation in Practice,2021-09-24 19:17:54
748,2021,REG,TEN,3,00-0032764,RB,Derrick Henry,Derrick,Henry,None,None,None,Not injury related - resting player,None,Full Participation in Practice,2021-09-24 19:17:54
759,2021,REG,WAS,3,00-0036328,RB,Antonio Gibson,Antonio,Gibson,None,None,None,Shoulder,None,Full Participation in Practice,2021-09-24 15:22:24
764,2021,REG,ARI,4,00-0030564,WR,DeAndre Hopkins,DeAndre,Hopkins,None,None,None,Ribs,None,Full Participation in Practice,2021-10-01 20:12:15
785,2021,REG,BAL,4,00-0034796,QB,Lamar Jackson,Lamar,Jackson,Back,None,Questionable,Back,None,Full Participation in Practice,2021-10-01 19:58:56
793,2021,REG,BUF,4,00-0031588,WR,Stefon Diggs,Stefon,Diggs,None,None,None,Not injury related - resting player,None,Did Not Participate In Practice,2021-10-01 18:21:30
809,2021,REG,CAR,4,00-0033280,RB,Christian McCaffrey,Christian,McCaffrey,Hamstring,None,Out,Hamstring,None,Did Not Participate In Practice,2021-10-01 18:59:11
812,2021,REG,CHI,4,00-0036945,QB,Justin Fields,Justin,Fields,None,None,None,right Thumb,None,Full Participation in Practice,2021-10-01 19:12:49
821,2021,REG,CHI,4,00-0036309,WR,Darnell Mooney,Darnell,Mooney,Groin,None,Questionable,Groin,None,Limited Participation in Practice,2021-10-01 19:13:31
827,2021,REG,CIN,4,00-0036410,WR,Tee Higgins,Tee,Higgins,Shoulder,None,Out,Shoulder,None,Did Not Participate In Practice,2021-09-29 19:28:30
838,2021,REG,DAL,4,00-0035261,RB,Tony Pollard,Tony,Pollard,None,None,None,Not injury related - personal matter,None,Full Participation in Practice,2021-10-01 18:35:10
857,2021,REG,DET,4,00-0036275,RB,D'Andre Swift,D'Andre,Swift,Groin,None,Questionable,Groin,None,Limited Participation in Practice,2021-10-01 19:32:49
860,2021,REG,GB,4,00-0033293,RB,Aaron Jones,Aaron,Jones,None,None,None,Ankle,None,Limited Participation in Practice,2021-10-01 18:48:57
874,2021,REG,HOU,4,00-0033537,QB,Deshaun Watson,Deshaun,Watson,Not injury related - personal matter,None,Out,Not injury related - personal matter,None,Did Not Participate In Practice,2021-10-01 19:52:45
887,2021,REG,IND,4,00-0036223,RB,Jonathan Taylor,Jonathan,Taylor,Knee,None,Questionable,Knee,None,Limited Participation in Practice,2021-10-01 18:30:08
895,2021,REG,KC,4,00-0035140,WR,Mecole Hardman,Mecole,Hardman,None,None,None,Hip,None,Full Participation in Practice,2021-10-01 19:02:01
896,2021,REG,KC,4,00-0033040,WR,Tyreek Hill,Tyreek,Hill,None,None,None,Rib,None,Full Participation in Practice,2021-10-01 19:02:01
900,2021,REG,KC,4,00-0032775,WR,Demarcus Robinson,Demarcus,Robinson,None,None,None,Knee,None,Full Participation in Practice,2021-10-01 19:02:01
911,2021,REG,LA,4,00-0036849,WR,Tutu Atwell,Tutu,Atwell,Illness,None,Questionable,Illness,None,Full Participation in Practice,2021-10-01 20:00:31
913,2021,REG,LAC,4,00-0030279,WR,Keenan Allen,Keenan,Allen,None,None,None,Ankle,None,Full Participation in Practice,2021-10-02 19:50:53
929,2021,REG,LV,4,00-0035700,RB,Josh Jacobs,Josh,Jacobs,Ankle,None,Questionable,Ankle,None,Limited Participation in Practice,2021-10-02 19:35:12
934,2021,REG,MIA,4,00-0031547,WR,DeVante Parker,DeVante,Parker,None,None,None,Shoulder,None,Full Participation in Practice,2021-10-01 18:19:21
939,2021,REG,MIN,4,00-0030035,WR,Adam Thielen,Adam,Thielen,None,None,None,Not injury related - resting player,None,Did Not Participate In Practice,2021-09-29 20:34:56
942,2021,REG,MIN,4,00-0034270,TE,Tyler Conklin,Tyler,Conklin,None,None,None,Glute,Elbow,Full Participation in Practice,2021-10-01 17:50:02
953,2021,REG,MIN,4,00-0033893,RB,Dalvin Cook,Dalvin,Cook,Ankle,None,Questionable,Ankle,None,Limited Participation in Practice,2021-10-01 17:51:44
966,2021,REG,NO,4,00-0031503,QB,Jameis Winston,Jameis,Winston,None,None,None,Knee,None,Full Participation in Practice,2021-10-01 19:44:59
970,2021,REG,NYG,4,00-0034844,RB,Saquon Barkley,Saquon,Barkley,None,None,None,Knee,None,Limited Participation in Practice,2021-10-01 18:05:29
977,2021,REG,NYG,4,00-0035535,WR,Darius Slayton,Darius,Slayton,Hamstring,None,Out,Hamstring,None,Did Not Participate In Practice,2021-10-01 18:06:50
983,2021,REG,NYJ,4,00-0036980,WR,Elijah Moore,Elijah,Moore,Concussion,None,Out,Concussion,None,Did Not Participate In Practice,2021-10-01 18:50:29
985,2021,REG,NYJ,4,00-0031941,WR,Jamison Crowder,Jamison,Crowder,Groin,None,Questionable,Groin,None,Full Participation in Practice,2021-10-01 18:50:15
996,2021,REG,PIT,4,00-0035216,WR,Diontae Johnson,Diontae,Johnson,None,None,None,Knee,None,Full Participation in Practice,2021-10-01 18:12:36
998,2021,REG,PIT,4,00-0033857,WR,JuJu Smith-Schuster,JuJu,Smith-Schuster,None,None,None,Ribs,None,Full Participation in Practice,2021-10-01 18:13:32
1003,2021,REG,PIT,4,00-0036326,WR,Chase Claypool,Chase,Claypool,Hamstring,None,Questionable,Hamstring,None,Did Not Participate In Practice,2021-10-01 18:13:38
1014,2021,REG,SEA,4,00-0035640,WR,DK Metcalf,DK,Metcalf,None,None,None,Foot,None,Limited Participation in Practice,2021-10-01 21:05:41
1015,2021,REG,SEA,4,00-0034750,RB,Rashaad Penny,Rashaad,Penny,Calf,None,Out,Calf,None,Did Not Participate In Practice,2021-10-01 19:56:33
1019,2021,REG,SEA,4,00-0032211,WR,Tyler Lockett,Tyler,Lockett,Hip,None,Questionable,Hip,None,Full Participation in Practice,2021-10-01 19:58:05
1026,2021,REG,SF,4,00-0033288,TE,George Kittle,George,Kittle,Calf,None,Questionable,Calf,None,Limited Participation in Practice,2021-10-01 20:20:07
1027,2021,REG,SF,4,00-0036567,RB,Elijah Mitchell,Elijah,Mitchell,Shoulder,None,Questionable,Shoulder,None,Limited Participation in Practice,2021-10-01 20:20:07
1029,2021,REG,TB,4,00-0033921,WR,Chris Godwin,Chris,Godwin,None,None,None,Thumb,None,Full Participation in Practice,2021-10-01 19:47:40
1040,2021,REG,TEN,4,00-0032764,RB,Derrick Henry,Derrick,Henry,None,None,None,Not injury related - resting player,None,Full Participation in Practice,2021-10-01 18:47:21
1045,2021,REG,TEN,4,00-0035676,WR,A.J. Brown,A.J.,Brown,Hamstring,None,Out,Hamstring,None,Did Not Participate In Practice,2021-10-01 18:48:38
1055,2021,REG,WAS,4,00-0036328,RB,Antonio Gibson,Antonio,Gibson,Shin,None,Questionable,Shin,None,Limited Participation in Practice,2021-10-01 17:41:14
1056,2021,REG,ARI,5,00-0033553,RB,James Conner,James,Conner,None,None,None,Not injury related - personal matter,None,Did Not Participate In Practice,2021-10-06 21:53:39
1057,2021,REG,ARI,5,00-0030564,WR,DeAndre Hopkins,DeAndre,Hopkins,None,None,None,Not injury related - resting player,None,Did Not Participate In Practice,2021-10-06 21:54:20
1069,2021,REG,ARI,5,00-0034681,RB,Chase Edmonds,Chase,Edmonds,Shoulder,None,Questionable,Shoulder,None,Limited Participation in Practice,2021-10-08 19:44:54
1074,2021,REG,ATL,5,00-0034837,WR,Calvin Ridley,Calvin,Ridley,Not injury related - personal matter,None,Out,Not injury related - personal matter,None,Did Not Participate In Practice,2021-10-08 18:41:05
1089,2021,REG,BUF,5,00-0031588,WR,Stefon Diggs,Stefon,Diggs,None,None,None,Not injury related - resting player,None,Did Not Participate In Practice,2021-10-08 19:18:07
1109,2021,REG,CAR,5,00-0033280,RB,Christian McCaffrey,Christian,McCaffrey,Hamstring,None,Doubtful,Hamstring,None,Limited Participation in Practice,2021-10-08 17:38:57
1113,2021,REG,CHI,5,00-0036309,WR,Darnell Mooney,Darnell,Mooney,None,None,None,Groin,None,Full Participation in Practice,2021-10-08 18:24:41
1118,2021,REG,CHI,5,00-0035685,RB,David Montgomery,David,Montgomery,Knee,None,Out,Knee,None,Did Not Participate In Practice,2021-10-08 18:25:44
1127,2021,REG,CIN,5,00-0036410,WR,Tee Higgins,Tee,Higgins,None,None,None,Shoulder,None,Full Participation in Practice,2021-10-08 19:30:22
1131,2021,REG,CIN,5,00-0033897,RB,Joe Mixon,Joe,Mixon,Ankle,None,Questionable,Ankle,None,Did Not Participate In Practice,2021-10-08 19:30:39
1147,2021,REG,CLE,5,00-0033885,TE,David Njoku,David,Njoku,Knee,None,Questionable,Knee,None,Limited Participation in Practice,2021-10-08 17:09:46
1154,2021,REG,DAL,5,00-0031544,WR,Amari Cooper,Amari,Cooper,Hamstring,None,Questionable,Hamstring,None,Limited Participation in Practice,2021-10-08 18:49:52
1155,2021,REG,DAL,5,00-0033045,RB,Ezekiel Elliott,Ezekiel,Elliott,Knee,None,Questionable,Knee,None,Limited Participation in Practice,2021-10-08 18:49:52
1172,2021,REG,DEN,5,00-0034348,WR,Courtland Sutton,Courtland,Sutton,Ankle,None,Questionable,Ankle,None,Limited Participation in Practice,2021-10-08 20:03:42
1175,2021,REG,DET,5,00-0035229,TE,T.J. Hockenson,T.J.,Hockenson,Knee,None,Questionable,Knee,None,Limited Participation in Practice,2021-10-08 19:03:59
1177,2021,REG,DET,5,00-0036275,RB,D'Andre Swift,D'Andre,Swift,Groin,None,Questionable,Groin,None,Limited Participation in Practice,2021-10-08 19:03:59
1178,2021,REG,DET,5,00-0033948,RB,Jamaal Williams,Jamaal,Williams,Hip,None,Questionable,Hip,None,Limited Participation in Practice,2021-10-08 19:03:59
1187,2021,REG,GB,5,00-0033293,RB,Aaron Jones,Aaron,Jones,None,None,None,Ankle,None,Limited Participation in Practice,2021-10-08 18:56:20
1193,2021,REG,HOU,5,00-0031236,WR,Brandin Cooks,Brandin,Cooks,None,None,None,Not injury related - resting player,None,Did Not Participate In Practice,2021-10-06 20:12:21
1198,2021,REG,HOU,5,00-0033537,QB,Deshaun Watson,Deshaun,Watson,Not injury related - personal matter,None,Out,Not injury related - personal matter,None,Did Not Participate In Practice,2021-10-08 19:50:54
1200,2021,REG,HOU,5,00-0036556,TE,Brevin Jordan,Brevin,Jordan,Illness,None,Questionable,Illness,None,Did Not Participate In Practice,2021-10-08 20:48:59
1205,2021,REG,IND,5,00-0034367,RB,Nyheim Hines,Nyheim,Hines,None,None,None,Shoulder,None,Full Participation in Practice,2021-10-09 19:07:08
1223,2021,REG,KC,5,00-0033040,WR,Tyreek Hill,Tyreek,Hill,None,None,None,Knee,None,Full Participation in Practice,2021-10-08 19:42:34
1229,2021,REG,LA,5,00-0033110,TE,Tyler Higbee,Tyler,Higbee,None,None,None,Ankle,None,Full Participation in Practice,2021-10-06 19:14:11
1230,2021,REG,LA,5,00-0033246,TE,Johnny Mundt,Johnny,Mundt,None,None,None,Shoulder,None,Full Participation in Practice,2021-10-06 19:14:17
1232,2021,REG,LAC,5,00-0030279,WR,Keenan Allen,Keenan,Allen,None,None,None,Ankle,None,Full Participation in Practice,2021-10-08 19:51:11
1233,2021,REG,LAC,5,00-0033699,RB,Austin Ekeler,Austin,Ekeler,None,None,None,Ankle,None,Full Participation in Practice,2021-10-08 19:51:11
1242,2021,REG,LV,5,00-0035700,RB,Josh Jacobs,Josh,Jacobs,None,None,None,Ankle,None,Full Participation in Practice,2021-10-08 19:41:26
1246,2021,REG,LV,5,00-0031610,TE,Darren Waller,Darren,Waller,None,None,None,Knee,None,Full Participation in Practice,2021-10-08 19:41:26
1258,2021,REG,MIA,5,00-0031547,WR,DeVante Parker,DeVante,Parker,Shoulder,Hamstring,Questionable,Shoulder,Hamstring,Limited Participation in Practice,2021-10-08 18:39:02
1270,2021,REG,MIN,5,00-0033893,RB,Dalvin Cook,Dalvin,Cook,Ankle,None,Questionable,Ankle,None,Limited Participation in Practice,2021-10-08 17:44:11
1288,2021,REG,NYG,5,00-0034844,RB,Saquon Barkley,Saquon,Barkley,None,None,None,Knee,None,Full Participation in Practice,2021-10-08 18:39:43
1297,2021,REG,NYG,5,00-0035535,WR,Darius Slayton,Darius,Slayton,Hamstring,None,Out,Hamstring,None,Did Not Participate In Practice,2021-10-08 18:41:02
1301,2021,REG,NYJ,5,00-0036980,WR,Elijah Moore,Elijah,Moore,None,None,None,Concussion,None,Full Participation in Practice,2021-10-08 18:09:15
1313,2021,REG,PHI,5,00-0036271,WR,Quez Watkins,Quez,Watkins,None,None,None,Knee,None,Full Participation in Practice,2021-10-08 17:43:43
